,Score: Max Loss,Zero Line,Random,HMM(2),HMM(3),HMM(4),HMM(5),HMM(6),Max Gain
149,0.0,0.49285225787542025,0.4974585600958237,0.5067428109352313,0.5092873026728529,0.510967859278117,0.510967859278117,0.510967859278117,1.0
150,0.0,0.5456427475147672,0.5456890713778885,0.5463639594430492,0.5463639594430492,0.5463639594430492,0.5463639594430492,0.5463639594430492,1.0
151,0.0,0.4741226495783313,0.4719145383800649,0.5252009740705778,0.52595711962278,0.52595711962278,0.52595711962278,0.52595711962278,1.0
152,0.0,0.5263448675956381,0.5219746545703265,0.5246987013514708,0.5274199264558156,0.5309413791001776,0.5309413791001776,0.5309413791001776,1.0
153,0.0,0.5045124617199976,0.5046026800444793,0.5183628098043171,0.5183628098043171,0.5183628098043171,0.5183628098043171,0.5183628098043171,1.0
154,0.0,0.4614643716443704,0.46013099184387396,0.5475157492932553,0.5475157492932553,0.5651585794441589,0.5651585794441589,0.5651585794441589,1.0
155,0.0,0.4970553723357315,0.4985147318544281,0.5002925343278409,0.5007599355443915,0.5043952057055637,0.5043952057055637,0.5043952057055637,1.0
156,0.0,0.504929942296995,0.4985964585586423,0.502287708090119,0.5055566298771215,0.515430838758656,0.515430838758656,0.515430838758656,1.0
157,0.0,0.48723017590588746,0.48550522076096386,0.5145628710948337,0.5145628710948337,0.5156524563934668,0.5156524563934668,0.5156524563934668,1.0
158,0.0,0.5161256987996872,0.5086508607633788,0.5142729062935268,0.517422993159853,0.529791923493596,0.529791923493596,0.529791923493596,1.0
159,0.0,0.5028365879959955,0.5036775700653965,0.5016128188212524,0.5024226597612858,0.5252650641996232,0.5252650641996232,0.5252650641996232,1.0
160,0.0,0.5006067692784006,0.5034486179604934,0.5043505864054194,0.5043505864054194,0.525570003759482,0.525570003759482,0.525570003759482,1.0
161,0.0,0.5132772995234937,0.5124133988496398,0.5132772995234937,0.5132772995234937,0.5244849034178116,0.5244849034178116,0.5244849034178116,1.0
162,0.0,0.4879988482600425,0.49601269432196726,0.5087786318027758,0.5121098400713566,0.5167392502785815,0.5167392502785815,0.5167392502785815,1.0
163,0.0,0.5037041047880169,0.5000929786362439,0.5046781927359618,0.5046781927359618,0.5203133708201314,0.5203133708201314,0.5203133708201314,1.0
