,Learn Result: Max Loss,Zero Loss,Random,HMM(2),HMM(3),HMM(4),HMM(5),HMM(6),Max Gain
33,-139863.90000000008,0,-1625.3266666666702,0.0,5911.20000000007,5911.20000000007,5911.20000000007,5911.20000000007,140478.6000000001
34,-138554.60000000036,0,82.44000000000233,3284.8000000000466,8349.699999999779,8349.699999999779,8349.699999999779,8349.699999999779,141560.10000000038
35,-134229.5000000004,0,-1181.4033333333257,0.0,10227.899999999849,10227.899999999849,10227.899999999849,10227.899999999849,130651.90000000039
36,-144782.6999999999,0,-643.5366666666669,0.0,0.0,0.0,0.0,0.0,132156.79999999993
37,-181478.39999999973,0,-1167.783333333328,2537.5999999999767,12163.29999999958,12163.29999999958,12163.29999999958,12163.29999999958,184015.99999999977
38,-204223.00000000012,0,505.17999999999785,0.0,0.0,9413.299999999988,9413.299999999988,9413.299999999988,199957.70000000013
39,-212931.3999999998,0,-978.376666666673,0.0,0.0,0.0,0.0,0.0,201627.8999999998
40,-205639.90000000026,0,-996.7933333333252,0.0,0.0,0.0,0.0,0.0,177515.0000000003
41,-305633.5000000002,0,1181.3099999999931,14096.700000000012,14523.5,26988.499999999884,26988.499999999884,26988.499999999884,320157.0000000002
42,-194720.50000000017,0,-783.1333333333338,24365.0,24365.0,29701.5,29701.5,29701.5,219028.00000000017
43,-177776.99999999953,0,-633.9099999999962,10861.0,20524.300000000163,20524.300000000163,20524.300000000163,20524.300000000163,186338.49999999948
44,-225011.2999999997,0,-2926.296666666671,0.0,4154.300000000221,4154.300000000221,4154.300000000221,4154.300000000221,209153.69999999966
45,-274062.2999999999,0,2765.3366666666793,0.0,10202.900000000664,10202.900000000664,10202.900000000664,10202.900000000664,274663.6999999999
46,-284565.10000000056,0,-1274.1099999999958,22503.79999999999,35048.399999999965,35863.80000000016,35863.80000000016,35863.80000000016,307068.9000000005
47,-209233.5999999998,0,952.0400000000009,5872.900000000023,11684.900000000198,25623.699999999953,25623.699999999953,25623.699999999953,214667.29999999976
48,-278578.0999999999,0,-2010.0566666666662,-284.29999999993015,10915.100000000326,25867.29999999999,25867.29999999999,25867.29999999999,275138.69999999995
49,-335338.10000000003,0,595.6999999999898,0.0,8508.100000000268,13851.29999999993,13851.29999999993,13851.29999999993,328350.2000000001
50,-682309.3000000003,0,-2818.5466666666684,0.0,1379.600000000035,4050.9999999998254,4050.9999999998254,4050.9999999998254,669715.8000000003
51,-258952.99999999988,0,-630.4900000000004,43233.49999999994,43233.49999999994,47522.100000000035,47522.100000000035,47522.100000000035,302186.4999999999
52,-205322.90000000014,0,-257.5266666666648,17221.699999999837,17221.699999999837,17221.699999999837,17221.699999999837,17221.699999999837,209215.60000000012
53,-144342.69999999984,0,-1919.6133333333273,19306.50000000006,23493.20000000001,23493.20000000001,23493.20000000001,23493.20000000001,166341.2999999998
54,-238519.99999999965,0,201.77666666667452,2887.8000000000466,2887.8000000000466,11899.499999999884,11899.499999999884,11899.499999999884,212970.19999999966
55,-203201.69999999984,0,1841.3133333333317,10389.400000000023,19416.699999999953,19416.699999999953,19416.699999999953,19416.699999999953,222514.3999999998
